id,departure city,discount,price,no of items,location,class,segment,sub-class,delivery type,RID,profit,delivery date,address code,departure state,placement date,Profit percent,Discount percent
1,Houston,0.2,16.448,2,Central,kariox,Consumer,phone,Standard Class,7981,5.5512,01-01-2018,77095,Texas,01-01-2018,33.75,1.215953307
2,Westland,0,29.7,5,Central,kariox,Consumer,headset,Standard Class,6334,13.365,01-01-2018,48185,Michigan,01-01-2018,45,0
3,Westland,0,14.73,3,Central,qexty,Consumer,shorts,Standard Class,6333,4.8609,01-01-2018,48185,Michigan,01-01-2018,33,0
4,Westland,0,43.92,3,Central,kariox,Consumer,television,Standard Class,6332,12.7368,01-01-2018,48185,Michigan,01-01-2018,29,0
5,Westland,0,66.58,2,Central,kariox,Consumer,laptop,Standard Class,6331,15.9792,01-01-2018,48185,Michigan,01-01-2018,24,0
6,Westland,0.1,247.716,4,Central,kariox,Consumer,battery,Standard Class,6330,93.5816,01-01-2018,48185,Michigan,01-01-2018,37.77777778,0.040368809
7,Westland,0,19.05,5,Central,kariox,Consumer,headset,Standard Class,6329,8.9535,01-01-2018,48185,Michigan,01-01-2018,47,0
8,Westland,0,272.94,3,Central,qexty,Consumer,shorts,Standard Class,6328,30.0234,01-01-2018,48185,Michigan,01-01-2018,11,0
9,Smyrna,0.7,67.194,1,South,kariox,Corporate,headset,Standard Class,7121,-51.5154,01-01-2018,37167,Tennessee,01-01-2018,-76.66666667,1.041759681
10,Westland,0,13.98,1,Central,kariox,Consumer,laptop,Standard Class,6327,4.0542,01-01-2018,48185,Michigan,01-01-2018,29,0
11,Jonesboro,0,1067.94,3,South,qexty,Consumer,tshirts,Standard Class,1127,224.2674,01-01-2018,72401,Arkansas,01-01-2018,21,0
12,Jonesboro,0,23.34,3,South,kariox,Consumer,watch,Standard Class,1126,10.9698,01-01-2018,72401,Arkansas,01-01-2018,47,0
13,Jonesboro,0,6.63,3,South,kariox,Consumer,television,Standard Class,1125,1.7901,01-01-2018,72401,Arkansas,01-01-2018,27,0
14,Jonesboro,0,38.6,4,South,qexty,Consumer,shorts,Standard Class,1124,11.58,01-01-2018,72401,Arkansas,01-01-2018,30,0
15,Jonesboro,0,22.96,7,South,kariox,Consumer,television,Standard Class,1123,6.6584,01-01-2018,72401,Arkansas,01-01-2018,29,0
16,Jonesboro,0,699.93,7,South,fynota,Consumer,colddrinks,Standard Class,1122,181.9818,01-01-2018,72401,Arkansas,01-01-2018,26,0
